id	len	species
NC_003230_189381	3	ECUNI
NC_003230_189858	550	ECUNI
NC_003230_190909	649	ECUNI
NC_003231_1034	369	ECUNI
NC_003231_3890	35	ECUNI
NC_003231_5225	1469	ECUNI
NC_003231_7204	345	ECUNI
NC_003231_7921	859	ECUNI
NC_003231_9395	874	ECUNI
NC_003231_10893	71	ECUNI
NC_003231_11270	1058	ECUNI
NC_003231_13093	876	ECUNI
NC_003231_14965	642	ECUNI
NC_003231_16438	246	ECUNI
NC_003231_17326	267	ECUNI
NC_003231_19069	344	ECUNI
NC_003231_19614	19	ECUNI
NC_003231_20323	119	ECUNI
NC_003231_21403	518	ECUNI
NC_003231_22494	135	ECUNI
NC_003231_22703	149	ECUNI
NC_003231_23830	84	ECUNI
NC_003231_24688	87	ECUNI
NC_003231_25387	67	ECUNI
NC_003231_25528	18	ECUNI
NC_003231_26704	141	ECUNI
NC_003231_28048	15	ECUNI
NC_003231_29098	146	ECUNI
NC_003231_30483	134	ECUNI
NC_003231_32444	69	ECUNI
NC_003231_33437	227	ECUNI
NC_003231_34135	35	ECUNI
NC_003231_35193	12	ECUNI
NC_003231_35715	21	ECUNI
NC_003231_36474	51	ECUNI
NC_003231_38913	161	ECUNI
NC_003231_40898	174	ECUNI
NC_003231_41453	42	ECUNI
NC_003231_41801	201	ECUNI
NC_003231_45437	84	ECUNI
NC_003231_46046	63	ECUNI
NC_003231_47315	138	ECUNI
NC_003231_49649	177	ECUNI
NC_003231_52160	399	ECUNI
NC_003231_54480	38	ECUNI
NC_003231_56414	97	ECUNI
NC_003231_57270	197	ECUNI
NC_003231_57582	51	ECUNI
NC_003231_58467	49	ECUNI
NC_003231_59320	104	ECUNI
NC_003231_61092	689	ECUNI
NC_003231_64022	39	ECUNI
NC_003231_64478	83	ECUNI
NC_003231_65413	30	ECUNI
NC_003231_66121	98	ECUNI
NC_003231_66963	20	ECUNI
NC_003231_67991	220	ECUNI
NC_003231_68712	7	ECUNI
NC_003231_69442	47	ECUNI
NC_003231_70446	414	ECUNI
NC_003231_71388	246	ECUNI
NC_003231_72957	160	ECUNI
NC_003231_74878	122	ECUNI
NC_003231_75741	138	ECUNI
NC_003231_76962	99	ECUNI
NC_003231_77580	182	ECUNI
NC_003231_78233	86	ECUNI
NC_003231_78673	20	ECUNI
NC_003231_79581	38	ECUNI
NC_003231_81270	37	ECUNI
NC_003231_88423	68	ECUNI
NC_003231_89397	256	ECUNI
NC_003231_90439	568	ECUNI
NC_003231_91475	792	ECUNI
NC_003231_92852	68	ECUNI
NC_003231_93259	54	ECUNI
NC_003231_94603	54	ECUNI
NC_003231_101791	77	ECUNI
NC_003231_102615	57	ECUNI
NC_003231_102918	97	ECUNI
NC_003231_103585	70	ECUNI
NC_003231_104210	63	ECUNI
NC_003231_105515	60	ECUNI
NC_003231_106415	80	ECUNI
NC_003231_107920	43	ECUNI
NC_003231_110306	79	ECUNI
NC_003231_111192	86	ECUNI
NC_003231_113336	34	ECUNI
NC_003231_114983	45	ECUNI
NC_003231_116702	42	ECUNI
NC_003231_119546	56	ECUNI
NC_003231_119684	66	ECUNI
NC_003231_120680	428	ECUNI
NC_003231_124597	73	ECUNI
NC_003231_125174	93	ECUNI
NC_003231_125579	22	ECUNI
NC_003231_125904	228	ECUNI
NC_003231_126498	105	ECUNI
NC_003231_128004	107	ECUNI
NC_003231_128795	9	ECUNI
NC_003231_133907	304	ECUNI
NC_003231_134625	68	ECUNI
NC_003231_134951	65	ECUNI
NC_003231_136474	352	ECUNI
NC_003231_137228	314	ECUNI
NC_003231_138430	28	ECUNI
NC_003231_139010	31	ECUNI
NC_003231_139734	364	ECUNI
NC_003231_141964	110	ECUNI
NC_003231_142413	90	ECUNI
NC_003231_145043	48	ECUNI
NC_003231_146003	39	ECUNI
NC_003231_146546	162	ECUNI
NC_003231_147677	82	ECUNI
NC_003231_150525	26	ECUNI
NC_003231_151202	143	ECUNI
NC_003231_152347	8	ECUNI
NC_003231_152715	67	ECUNI
NC_003231_153361	208	ECUNI
NC_003231_154781	87	ECUNI
NC_003231_155915	152	ECUNI
NC_003231_158497	92	ECUNI
NC_003231_159165	61	ECUNI
NC_003231_160243	49	ECUNI
NC_003231_162260	110	ECUNI
NC_003231_164885	49	ECUNI
NC_003231_165780	22	ECUNI
NC_003231_168448	66	ECUNI
NC_003231_169420	163	ECUNI
NC_003231_170003	75	ECUNI
NC_003231_170837	69	ECUNI
NC_003231_171638	60	ECUNI
NC_003231_172502	29	ECUNI
NC_003231_173302	75	ECUNI
NC_003231_173668	350	ECUNI
NC_003231_174363	16	ECUNI
NC_003231_175462	74	ECUNI
NC_003231_176133	76	ECUNI
NC_003231_176530	30	ECUNI
NC_003231_180748	80	ECUNI
NC_003231_180901	70	ECUNI
NC_003231_182834	57	ECUNI
NC_003231_182963	74	ECUNI
NC_003231_184075	612	ECUNI
NC_003231_185698	403	ECUNI
NC_003231_186698	79	ECUNI
NC_003231_187173	54	ECUNI
NC_003231_189285	58	ECUNI
NC_003231_190588	174	ECUNI
NC_003231_191416	185	ECUNI
NC_003231_193245	97	ECUNI
NC_003231_195346	79	ECUNI
NC_003231_196181	50	ECUNI
NC_003231_197221	72	ECUNI
NC_003231_197869	69	ECUNI
NC_003231_198604	158	ECUNI
NC_003231_199407	83	ECUNI
NC_003231_199871	47	ECUNI
NC_003231_200803	126	ECUNI
NC_003231_201514	413	ECUNI
NC_003231_202779	445	ECUNI
NC_003231_205108	54	ECUNI
NC_003231_205756	558	ECUNI
NC_003231_207598	411	ECUNI
NC_003231_208396	810	ECUNI
NC_003231_209560	315	ECUNI
NC_003231_210685	422	ECUNI
NC_003231_212868	362	ECUNI
NC_003231_214837	789	ECUNI
NC_003231_216412	192	ECUNI
NC_003238_1096	1184	ECUNI
NC_003238_3096	235	ECUNI
NC_003238_4114	141	ECUNI
NC_003238_4936	241	ECUNI
NC_003238_5951	116	ECUNI
NC_003238_7333	54	ECUNI
NC_003238_9367	153	ECUNI
NC_003238_9937	104	ECUNI
NC_003238_13455	67	ECUNI
NC_003238_15106	238	ECUNI
NC_003238_15968	25	ECUNI
NC_003238_16661	302	ECUNI
NC_003238_18196	61	ECUNI
NC_003238_19253	31	ECUNI
NC_003238_21639	85	ECUNI
NC_003238_24241	126	ECUNI
NC_003238_25021	104	ECUNI
NC_003238_26595	110	ECUNI
NC_003238_27968	254	ECUNI
NC_003238_29422	25	ECUNI
NC_003238_31598	60	ECUNI
NC_003238_32459	24	ECUNI
NC_003238_33311	95	ECUNI
NC_003238_34252	65	ECUNI
NC_003238_35553	57	ECUNI
NC_003238_36813	56	ECUNI
NC_003238_37787	464	ECUNI
NC_003238_39310	7	ECUNI
NC_003238_41015	112	ECUNI
NC_003238_42162	146	ECUNI
NC_003238_44780	184	ECUNI
NC_003238_46218	267	ECUNI
NC_003238_47214	49	ECUNI
NC_003238_48046	104	ECUNI
NC_003238_49491	129	ECUNI
NC_003238_49974	161	ECUNI
NC_003238_50813	7	ECUNI
NC_003238_51135	136	ECUNI
NC_003238_52195	59	ECUNI
NC_003238_52445	83	ECUNI
NC_003238_53623	55	ECUNI
NC_003238_53797	83	ECUNI
NC_003238_55968	46	ECUNI
NC_003238_56785	288	ECUNI
NC_003238_59998	148	ECUNI
NC_003238_60458	336	ECUNI
NC_003238_61217	90	ECUNI
NC_003238_61964	333	ECUNI
NC_003238_62624	58	ECUNI
NC_003238_64209	33	ECUNI
NC_003238_66054	54	ECUNI
NC_003238_67104	181	ECUNI
NC_003238_67630	7	ECUNI
NC_003238_68396	194	ECUNI
NC_003238_70474	420	ECUNI
NC_003238_74463	61	ECUNI
NC_003238_75313	442	ECUNI
NC_003238_77384	448	ECUNI
NC_003238_79428	987	ECUNI
NC_003238_81351	30	ECUNI
NC_003238_82377	111	ECUNI
NC_003238_84429	69	ECUNI
NC_003238_84777	39	ECUNI
NC_003238_85173	23	ECUNI
NC_003238_86756	3	ECUNI
NC_003238_87778	74	ECUNI
NC_003238_88887	67	ECUNI
NC_003238_89845	61	ECUNI
NC_003238_90359	2	ECUNI
NC_003238_91516	45	ECUNI
NC_003238_92188	42	ECUNI
NC_003238_93839	22	ECUNI
NC_003238_94815	44	ECUNI
NC_003238_95246	34	ECUNI
NC_003238_97248	30	ECUNI
NC_003238_98553	96	ECUNI
NC_003238_99513	84	ECUNI
NC_003238_100650	127	ECUNI
NC_003238_103240	29	ECUNI
NC_003238_104761	82	ECUNI
NC_003238_105488	45	ECUNI
NC_003238_105854	273	ECUNI
NC_003238_106826	222	ECUNI
NC_003238_108482	56	ECUNI
NC_003238_110506	88	ECUNI
NC_003238_114027	13	ECUNI
NC_003238_114754	330	ECUNI
NC_003238_115699	72	ECUNI
NC_003238_116287	404	ECUNI
NC_003238_117741	96	ECUNI
NC_003238_118293	146	ECUNI
NC_003238_118838	281	ECUNI
NC_003238_120878	81	ECUNI
NC_003238_122111	136	ECUNI
NC_003238_122529	101	ECUNI
NC_003238_123383	14	ECUNI
NC_003238_123784	120	ECUNI
NC_003238_124555	22	ECUNI
NC_003238_126330	55	ECUNI
NC_003238_127033	197	ECUNI
NC_003238_128067	58	ECUNI
NC_003238_128995	26	ECUNI
NC_003238_129546	43	ECUNI
NC_003238_130048	601	ECUNI
NC_003238_132374	217	ECUNI
NC_003238_133391	256	ECUNI
NC_003238_135252	241	ECUNI
NC_003238_136318	384	ECUNI
NC_003238_137404	54	ECUNI
NC_003238_138721	280	ECUNI
NC_003238_140279	29	ECUNI
NC_003238_141535	217	ECUNI
NC_003238_142175	20	ECUNI
NC_003238_142612	50	ECUNI
NC_003238_143232	62	ECUNI
NC_003238_143981	173	ECUNI
NC_003238_145135	65	ECUNI
NC_003238_146214	66	ECUNI
NC_003238_146478	36	ECUNI
NC_003238_147039	60	ECUNI
NC_003238_147636	25	ECUNI
NC_003238_148987	48	ECUNI
NC_003238_150829	182	ECUNI
NC_003238_151941	23	ECUNI
NC_003238_152405	97	ECUNI
NC_003238_152889	25	ECUNI
NC_003238_154999	112	ECUNI
NC_003238_155597	66	ECUNI
NC_003238_155960	74	ECUNI
NC_003238_157309	36	ECUNI
NC_003238_158626	90	ECUNI
NC_003238_158789	58	ECUNI
NC_003238_159621	104	ECUNI
NC_003238_161027	78	ECUNI
NC_003238_161639	89	ECUNI
NC_003238_165013	187	ECUNI
NC_003238_165812	79	ECUNI
NC_003238_166797	43	ECUNI
NC_003238_167326	200	ECUNI
NC_003238_168369	118	ECUNI
NC_003238_169867	29	ECUNI
NC_003238_170574	66	ECUNI
NC_003238_171840	56	ECUNI
NC_003238_172436	1798	ECUNI
NC_003238_175947	186	ECUNI
NC_003238_177750	904	ECUNI
NC_003238_180430	281	ECUNI
NC_003238_182085	56	ECUNI
NC_003238_183024	46	ECUNI
NC_003238_183691	65	ECUNI
NC_003238_185235	73	ECUNI
NC_003238_186322	310	ECUNI
NC_003238_188321	81	ECUNI
NC_003238_189365	86	ECUNI
NC_003238_190921	85	ECUNI
NC_003238_192263	43	ECUNI
NC_003238_193266	333	ECUNI
NC_003238_196221	58	ECUNI
NC_003238_197788	3	ECUNI
NC_003238_199111	523	ECUNI
NC_003238_201365	72	ECUNI
NC_003238_202601	41	ECUNI
NC_003238_203896	16	ECUNI
NC_003238_204728	116	ECUNI
NC_003238_206512	71	ECUNI
NC_003238_208197	55	ECUNI
NC_003238_208648	24	ECUNI
NC_003238_209611	30	ECUNI
NC_003238_210472	70	ECUNI
NC_003238_210614	141	ECUNI
NC_003238_212858	227	ECUNI
NC_003238_215890	75	ECUNI
NC_003238_216250	86	ECUNI
NC_003238_218487	131	ECUNI
NC_003238_219317	93	ECUNI
NC_003238_220073	199	ECUNI
NC_003238_221634	4	ECUNI
NC_003238_221709	24	ECUNI
NC_003238_226228	39	ECUNI
NC_003238_227080	90	ECUNI
NC_003238_228415	137	ECUNI
NC_003238_231204	173	ECUNI
NC_003238_232583	101	ECUNI
NC_003238_235738	54	ECUNI
NC_003238_236098	67	ECUNI
NC_003238_237488	18	ECUNI
NC_003238_238133	118	ECUNI
NC_003238_238791	97	ECUNI
NC_003238_239341	21	ECUNI
NC_003238_242611	171	ECUNI
NC_003238_243376	174	ECUNI
NC_003238_244339	10	ECUNI
NC_003238_245372	1440	ECUNI
NC_003238_247550	477	ECUNI
NC_003238_248678	204	ECUNI
NC_003232_1448	859	ECUNI
NC_003232_2922	757	ECUNI
NC_003232_5149	1200	ECUNI
NC_003232_6706	590	ECUNI
NC_003232_8124	1231	ECUNI
NC_003232_11812	91	ECUNI
NC_003232_14621	150	ECUNI
NC_003232_16748	956	ECUNI
NC_003232_18370	117	ECUNI
NC_003232_18949	182	ECUNI
NC_003232_20133	567	ECUNI
NC_003232_23921	288	ECUNI
NC_003232_24980	24	ECUNI
NC_003232_26288	60	ECUNI
NC_003232_27821	454	ECUNI
NC_003232_30459	110	ECUNI
NC_003232_30938	69	ECUNI
NC_003232_32288	96	ECUNI
NC_003232_34730	84	ECUNI
NC_003232_35219	9	ECUNI
NC_003232_36761	252	ECUNI
NC_003232_37583	59	ECUNI
NC_003232_38413	185	ECUNI
NC_003232_39636	141	ECUNI
NC_003232_40068	73	ECUNI
NC_003232_40510	69	ECUNI
NC_003232_41287	107	ECUNI
NC_003232_43086	104	ECUNI
NC_003232_45089	68	ECUNI
NC_003232_46324	22	ECUNI
NC_003232_47564	23	ECUNI
NC_003232_48187	80	ECUNI
NC_003232_49470	74	ECUNI
NC_003232_50705	69	ECUNI
NC_003232_51518	25	ECUNI
NC_003232_54057	59	ECUNI
NC_003232_55784	23	ECUNI
NC_003232_56374	137	ECUNI
NC_003232_57600	24	ECUNI
NC_003232_58875	69	ECUNI
NC_003232_60249	826	ECUNI
NC_003232_62449	142	ECUNI
NC_003232_63251	66	ECUNI
NC_003232_64520	469	ECUNI
NC_003232_65553	7	ECUNI
NC_003232_67768	225	ECUNI
NC_003232_68353	44	ECUNI
NC_003232_68673	130	ECUNI
NC_003232_69991	83	ECUNI
NC_003232_70767	115	ECUNI
NC_003232_71605	55	ECUNI
NC_003232_72035	143	ECUNI
NC_003232_82489	63	ECUNI
NC_003232_83605	24	ECUNI
NC_003232_84169	65	ECUNI
NC_003232_84897	131	ECUNI
NC_003232_86186	230	ECUNI
NC_003232_87172	59	ECUNI
NC_003232_87314	88	ECUNI
NC_003232_88062	108	ECUNI
NC_003232_89016	180	ECUNI
NC_003232_90264	183	ECUNI
NC_003232_92532	35	ECUNI
NC_003232_92933	60	ECUNI
NC_003232_94520	105	ECUNI
NC_003232_95375	99	ECUNI
NC_003232_96086	37	ECUNI
NC_003232_97080	49	ECUNI
NC_003232_98356	34	ECUNI
NC_003232_100013	160	ECUNI
NC_003232_101037	33	ECUNI
NC_003232_102204	49	ECUNI
NC_003232_103681	34	ECUNI
NC_003232_104657	55	ECUNI
NC_003232_105072	50	ECUNI
NC_003232_105857	5	ECUNI
NC_003232_106180	58	ECUNI
NC_003232_108419	289	ECUNI
NC_003232_109506	93	ECUNI
NC_003232_111186	89	ECUNI
NC_003232_112382	144	ECUNI
NC_003232_113249	68	ECUNI
NC_003232_113878	38	ECUNI
NC_003232_114291	91	ECUNI
NC_003232_116703	82	ECUNI
NC_003232_117460	104	ECUNI
NC_003232_118398	116	ECUNI
NC_003232_118587	75	ECUNI
NC_003232_118881	59	ECUNI
NC_003232_119570	95	ECUNI
NC_003232_120148	88	ECUNI
NC_003232_120473	150	ECUNI
NC_003232_121178	1	ECUNI
NC_003232_121935	120	ECUNI
NC_003232_126069	73	ECUNI
NC_003232_127751	28	ECUNI
NC_003232_128877	30	ECUNI
NC_003232_129318	53	ECUNI
NC_003232_132242	99	ECUNI
NC_003232_132968	46	ECUNI
NC_003232_134031	99	ECUNI
NC_003232_135204	80	ECUNI
NC_003232_136088	82	ECUNI
NC_003232_136902	279	ECUNI
NC_003232_138423	6	ECUNI
NC_003232_138750	5	ECUNI
NC_003232_139985	320	ECUNI
NC_003232_141469	69	ECUNI
NC_003232_142042	69	ECUNI
NC_003232_145303	75	ECUNI
NC_003232_147070	49	ECUNI
NC_003232_148133	44	ECUNI
NC_003232_149311	78	ECUNI
NC_003232_150910	90	ECUNI
NC_003232_153910	76	ECUNI
NC_003232_154454	936	ECUNI
NC_003232_156365	87	ECUNI
NC_003232_157040	421	ECUNI
NC_003232_159126	113	ECUNI
NC_003232_159971	6	ECUNI
NC_003232_161177	48	ECUNI
NC_003232_161927	100	ECUNI
NC_003232_164280	264	ECUNI
NC_003232_165726	20	ECUNI
NC_003232_168133	236	ECUNI
NC_003232_170073	25	ECUNI
NC_003232_170599	79	ECUNI
NC_003232_173564	78	ECUNI
NC_003232_173951	103	ECUNI
NC_003232_174597	74	ECUNI
NC_003232_175208	149	ECUNI
NC_003232_176056	48	ECUNI
NC_003232_176716	67	ECUNI
NC_003232_176901	68	ECUNI
NC_003232_178088	49	ECUNI
NC_003232_179358	4	ECUNI
NC_003232_179977	60	ECUNI
NC_003232_181252	82	ECUNI
NC_003232_182033	17	ECUNI
NC_003232_182980	154	ECUNI
NC_003232_184094	74	ECUNI
NC_003232_184747	179	ECUNI
NC_003232_185832	33	ECUNI
NC_003232_186204	66	ECUNI
NC_003232_187455	126	ECUNI
NC_003232_188758	89	ECUNI
NC_003232_189174	379	ECUNI
NC_003232_190861	123	ECUNI
NC_003232_191944	94	ECUNI
NC_003232_192923	73	ECUNI
NC_003232_194703	27	ECUNI
NC_003232_195861	323	ECUNI
NC_003232_196754	72	ECUNI
NC_003232_197799	105	ECUNI
NC_003232_198531	112	ECUNI
NC_003232_199540	287	ECUNI
NC_003232_200638	74	ECUNI
NC_003232_201018	1210	ECUNI
